id,title,parent_id,path,source_id,taxonomy_id,item_id
27682,International relations,27658,/27391/27658/27682,440808,100,22404952
29773,Operations research,29749,/29746/29749/29773,490108,100,21647615
27211,Biomechanics,27208,/27001/27208/27211,420701,100,22661266
27217,Motor control,27208,/27001/27208/27217,420703,100,22661266
25870,Seismology and seismic exploration,25843,/25717/25843/25870,370609,100,21820860
25225,Catalysis and mechanisms of reactions,25222,/25066/25222/25225,340601,100,21977960
25225,Catalysis and mechanisms of reactions,25222,/25066/25222/25225,340601,100,21977963
28846,Modelling and simulation,28825,/28798/28825/28846,460207,100,16636279
26872,Ecological impacts of climate change and ecological adaptation,26866,/26863/26866/26872,410102,100,21899487
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22654444
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22654375
24232,Population ecology,24211,/24130/24211/24232,310307,100,22654375
645,Engineering Instrumentation,5,,,10,22293388
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22653853
24370,Microbiology not elsewhere classified,24349,/24130/24349/24370,310799,100,22653853
24352,Bacteriology,24349,/24130/24349/24352,310701,100,22653853
24310,Genomics,24283,/24130/24283/24310,310509,100,22653853
24298,Gene expression (incl. microarray and other genome-wide approaches),24283,/24130/24283/24298,310505,100,22651042
26875,Human impacts of climate change and human adaptation,26866,/26863/26866/26875,410103,100,22650760
24367,Virology,24349,/24130/24349/24367,310706,100,14073236
25888,Surface water hydrology,25876,/25717/25876/25888,370704,100,22647916
24382,Plant cell and molecular biology,24373,/24130/24373/24382,310803,100,22647559
24559,Clinical sciences not elsewhere classified,24475,/24457/24475/24559,320299,100,21747770
24238,Ecology not elsewhere classified,24211,/24130/24211/24238,310399,100,17158469
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22645048
27667,Comparative government and politics,27658,/27391/27658/27667,440803,100,22564912
29188,Programming languages,29176,/28798/29176/29188,461204,100,22641745
24178,Biochemistry and cell biology not elsewhere classified,24133,/24130/24133/24178,310199,100,21792824
24178,Biochemistry and cell biology not elsewhere classified,24133,/24130/24133/24178,310199,100,22640974
26353,Construction engineering,26341,/26212/26341/26353,400504,100,22640884
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22640326
24538,Psychiatry (incl. psychotherapy),24475,/24457/24475/24538,320221,100,22640134
26512,"Photonic and electro-optical devices, sensors and systems (excl. communications)",26485,/26212/26485/26512,400909,100,22091624
30373,Cognition,30370,/30292/30370/30373,520401,100,22639150
28822,Applied computing not elsewhere classified,28801,/28798/28801/28822,460199,100,22639096
28933,Data mining and knowledge discovery,28927,/28798/28927/28933,460502,100,22639096
28930,Data engineering and data science,28927,/28798/28927/28930,460501,100,22639096
27373,North American history,27310,/27244/27310/27373,430321,100,22637848
25045,Urban analysis and development,25015,/24895/25015/25045,330410,100,22637848
28879,Computer vision,28867,/28798/28867/28879,460304,100,22637848
28804,Applications in arts and humanities,28801,/28798/28801/28804,460101,100,22637848
25984,Macroeconomics (incl. monetary and fiscal theory),25948,/25945/25948/25984,380112,100,22634278
24352,Bacteriology,24349,/24130/24349/24352,310701,100,22634167
26461,Electrical circuits and systems,26455,/26212/26455/26461,400802,100,22633423
26437,Manufacturing robotics,26416,/26212/26416/26437,400707,100,22599850
26431,Control engineering,26416,/26212/26416/26431,400705,100,22599850
29032,Virtual and mixed reality,29008,/28798/29008/29032,460708,100,22599850
26659,Industrial engineering,26647,/26212/26647/26659,401404,100,22599850
27607,Human geography not elsewhere classified,27568,/27391/27568/27607,440699,100,20493012
28822,Applied computing not elsewhere classified,28801,/28798/28801/28822,460199,100,22620538
29200,"Software testing, verification and validation",29176,/28798/29176/29200,461208,100,22614970
29200,"Software testing, verification and validation",29176,/28798/29176/29200,461208,100,22615561
29755,Biological mathematics,29749,/29746/29749/29755,490102,100,22341289
29869,Applied statistics,29866,/29746/29866/29869,490501,100,22341289
